case,matches_stored,nested_ok,omitted_vox_p0.3
PARSE_0001.nii.gz,False,True,16586
PARSE_0002.nii.gz,False,True,26176
PARSE_0003.nii.gz,False,True,13690
PARSE_0004.nii.gz,False,True,18502
PARSE_0005.nii.gz,False,True,20821
PARSE_0006.nii.gz,False,True,18528
PARSE_0007.nii.gz,False,True,19399
PARSE_0008.nii.gz,False,True,19981
PARSE_0009.nii.gz,False,True,17602
PARSE_0010.nii.gz,False,True,18703
PARSE_0011.nii.gz,False,True,17011
PARSE_0012.nii.gz,False,True,11552
PARSE_0013.nii.gz,False,True,19588
PARSE_0014.nii.gz,False,True,10190
PARSE_0015.nii.gz,False,True,21889
PARSE_0016.nii.gz,False,True,16432
PARSE_0017.nii.gz,False,True,29856
PARSE_0018.nii.gz,False,True,10523
PARSE_0019.nii.gz,False,True,47685
PARSE_0020.nii.gz,False,True,24438
PARSE_0021.nii.gz,False,True,15992
PARSE_0022.nii.gz,False,True,16150
PARSE_0023.nii.gz,False,True,20548
PARSE_0024.nii.gz,False,True,31761
PARSE_0025.nii.gz,False,True,19966
PARSE_0026.nii.gz,False,True,27592
PARSE_0027.nii.gz,False,True,32625
PARSE_0028.nii.gz,False,True,11127
PARSE_0029.nii.gz,False,True,28767
PARSE_0030.nii.gz,False,True,16290
PARSE_0031.nii.gz,False,True,11916
PARSE_0032.nii.gz,False,True,25171
PARSE_0033.nii.gz,False,True,15099
PARSE_0034.nii.gz,False,True,17786
PARSE_0035.nii.gz,False,True,22134
PARSE_0036.nii.gz,False,True,18285
PARSE_0037.nii.gz,False,True,16626
PARSE_0038.nii.gz,False,True,16376
PARSE_0039.nii.gz,False,True,12867
PARSE_0040.nii.gz,False,True,25799
PARSE_0041.nii.gz,False,True,18046
PARSE_0042.nii.gz,False,True,18741
PARSE_0043.nii.gz,False,True,12556
PARSE_0044.nii.gz,False,True,19018
PARSE_0045.nii.gz,False,True,24307
PARSE_0046.nii.gz,False,True,9806
PARSE_0047.nii.gz,False,True,23057
PARSE_0048.nii.gz,False,True,18998
PARSE_0049.nii.gz,False,True,18895
PARSE_0050.nii.gz,False,True,27036
PARSE_0051.nii.gz,False,True,40103
PARSE_0052.nii.gz,False,True,21079
PARSE_0053.nii.gz,False,True,40789
PARSE_0054.nii.gz,False,True,27473
PARSE_0055.nii.gz,False,True,28607
PARSE_0056.nii.gz,False,True,32801
PARSE_0057.nii.gz,False,True,22991
PARSE_0058.nii.gz,False,True,24090
PARSE_0059.nii.gz,False,True,22603
PARSE_0060.nii.gz,False,True,17375
PARSE_0061.nii.gz,False,True,17105
PARSE_0062.nii.gz,False,True,6725
PARSE_0063.nii.gz,False,True,20518
PARSE_0064.nii.gz,False,True,23173
PARSE_0065.nii.gz,False,True,11161
PARSE_0066.nii.gz,False,True,12535
PARSE_0067.nii.gz,False,True,17980
PARSE_0068.nii.gz,False,True,16810
PARSE_0069.nii.gz,False,True,14220
PARSE_0070.nii.gz,False,True,21646
PARSE_0071.nii.gz,False,True,16183
PARSE_0072.nii.gz,False,True,30557
PARSE_0073.nii.gz,False,True,10953
PARSE_0074.nii.gz,False,True,25727
PARSE_0075.nii.gz,False,True,19196
PARSE_0076.nii.gz,False,True,20361
PARSE_0077.nii.gz,False,True,19153
PARSE_0078.nii.gz,False,True,23901
PARSE_0079.nii.gz,False,True,18834
PARSE_0080.nii.gz,False,True,22280
PARSE_0081.nii.gz,False,True,26168
PARSE_0082.nii.gz,False,True,11881
PARSE_0083.nii.gz,False,True,20875
PARSE_0084.nii.gz,False,True,17735
PARSE_0085.nii.gz,False,True,17334
