case,matches_stored,nested_ok,omitted_vox_p0.3
PARSE_0001.nii.gz,False,True,14021
PARSE_0002.nii.gz,False,True,16856
PARSE_0003.nii.gz,False,True,18634
PARSE_0004.nii.gz,False,True,16908
PARSE_0005.nii.gz,False,True,14608
PARSE_0006.nii.gz,False,True,11762
PARSE_0007.nii.gz,False,True,10360
PARSE_0008.nii.gz,False,True,19381
PARSE_0009.nii.gz,False,True,14255
PARSE_0010.nii.gz,False,True,19373
PARSE_0011.nii.gz,False,True,18675
PARSE_0012.nii.gz,False,True,18543
PARSE_0013.nii.gz,False,True,20938
PARSE_0014.nii.gz,False,True,12826
PARSE_0015.nii.gz,False,True,18699
PARSE_0016.nii.gz,False,True,24589
PARSE_0017.nii.gz,False,True,46237
PARSE_0018.nii.gz,False,True,9831
PARSE_0019.nii.gz,False,True,35569
PARSE_0020.nii.gz,False,True,14200
PARSE_0021.nii.gz,False,True,21513
PARSE_0022.nii.gz,False,True,20545
PARSE_0023.nii.gz,False,True,25200
PARSE_0024.nii.gz,False,True,35069
PARSE_0025.nii.gz,False,True,24480
PARSE_0026.nii.gz,False,True,18519
PARSE_0027.nii.gz,False,True,29267
PARSE_0028.nii.gz,False,True,14970
PARSE_0029.nii.gz,False,True,22905
PARSE_0030.nii.gz,False,True,23098
PARSE_0031.nii.gz,False,True,13681
PARSE_0032.nii.gz,False,True,27723
PARSE_0033.nii.gz,False,True,15669
PARSE_0034.nii.gz,False,True,23502
PARSE_0035.nii.gz,False,True,22861
PARSE_0036.nii.gz,False,True,22778
PARSE_0037.nii.gz,False,True,10254
PARSE_0038.nii.gz,False,True,10303
PARSE_0039.nii.gz,False,True,25101
PARSE_0040.nii.gz,False,True,19715
PARSE_0041.nii.gz,False,True,20225
PARSE_0042.nii.gz,False,True,27286
PARSE_0043.nii.gz,False,True,19596
PARSE_0044.nii.gz,False,True,16096
PARSE_0045.nii.gz,False,True,17487
PARSE_0046.nii.gz,False,True,8857
PARSE_0047.nii.gz,False,True,21193
PARSE_0048.nii.gz,False,True,14703
PARSE_0049.nii.gz,False,True,28936
PARSE_0050.nii.gz,False,True,28998
PARSE_0051.nii.gz,False,True,36599
PARSE_0052.nii.gz,False,True,25673
PARSE_0053.nii.gz,False,True,37757
PARSE_0054.nii.gz,False,True,22086
PARSE_0055.nii.gz,False,True,28005
PARSE_0056.nii.gz,False,True,39672
PARSE_0057.nii.gz,False,True,22338
PARSE_0058.nii.gz,False,True,34763
PARSE_0059.nii.gz,False,True,26133
PARSE_0060.nii.gz,False,True,22633
PARSE_0061.nii.gz,False,True,21217
PARSE_0062.nii.gz,False,True,10189
PARSE_0063.nii.gz,False,True,20710
PARSE_0064.nii.gz,False,True,25932
PARSE_0065.nii.gz,False,True,16274
PARSE_0066.nii.gz,False,True,21991
PARSE_0067.nii.gz,False,True,15007
PARSE_0068.nii.gz,False,True,17786
PARSE_0069.nii.gz,False,True,13646
PARSE_0070.nii.gz,False,True,22981
PARSE_0071.nii.gz,False,True,20985
PARSE_0072.nii.gz,False,True,26358
PARSE_0073.nii.gz,False,True,13169
PARSE_0074.nii.gz,False,True,22488
PARSE_0075.nii.gz,False,True,18124
PARSE_0076.nii.gz,False,True,21024
PARSE_0077.nii.gz,False,True,21195
PARSE_0078.nii.gz,False,True,26847
PARSE_0079.nii.gz,False,True,19885
PARSE_0080.nii.gz,False,True,17565
PARSE_0081.nii.gz,False,True,33849
PARSE_0082.nii.gz,False,True,9492
PARSE_0083.nii.gz,False,True,24212
PARSE_0084.nii.gz,False,True,25968
PARSE_0085.nii.gz,False,True,21266
