case,matches_stored,nested_ok,omitted_vox_p0.3
PARSE_0001.nii.gz,False,True,19403
PARSE_0002.nii.gz,False,True,17802
PARSE_0003.nii.gz,False,True,19493
PARSE_0004.nii.gz,False,True,14523
PARSE_0005.nii.gz,False,True,18778
PARSE_0006.nii.gz,False,True,11292
PARSE_0007.nii.gz,False,True,17662
PARSE_0008.nii.gz,False,True,14019
PARSE_0009.nii.gz,False,True,16534
PARSE_0010.nii.gz,False,True,17486
PARSE_0011.nii.gz,False,True,28599
PARSE_0012.nii.gz,False,True,10980
PARSE_0013.nii.gz,False,True,15961
PARSE_0014.nii.gz,False,True,13336
PARSE_0015.nii.gz,False,True,21583
PARSE_0016.nii.gz,False,True,21084
PARSE_0017.nii.gz,False,True,37655
PARSE_0018.nii.gz,False,True,8786
PARSE_0019.nii.gz,False,True,32832
PARSE_0020.nii.gz,False,True,23158
PARSE_0021.nii.gz,False,True,25115
PARSE_0022.nii.gz,False,True,18889
PARSE_0023.nii.gz,False,True,20655
PARSE_0024.nii.gz,False,True,33348
PARSE_0025.nii.gz,False,True,20781
PARSE_0026.nii.gz,False,True,21266
PARSE_0027.nii.gz,False,True,37305
PARSE_0028.nii.gz,False,True,14492
PARSE_0029.nii.gz,False,True,22905
PARSE_0030.nii.gz,False,True,25420
PARSE_0031.nii.gz,False,True,16213
PARSE_0032.nii.gz,False,True,21548
PARSE_0033.nii.gz,False,True,14059
PARSE_0034.nii.gz,False,True,18458
PARSE_0035.nii.gz,False,True,23390
PARSE_0036.nii.gz,False,True,16641
PARSE_0037.nii.gz,False,True,12611
PARSE_0038.nii.gz,False,True,15482
PARSE_0039.nii.gz,False,True,13325
PARSE_0040.nii.gz,False,True,31305
PARSE_0041.nii.gz,False,True,18736
PARSE_0042.nii.gz,False,True,28923
PARSE_0043.nii.gz,False,True,17500
PARSE_0044.nii.gz,False,True,15111
PARSE_0045.nii.gz,False,True,22567
PARSE_0046.nii.gz,False,True,9932
PARSE_0047.nii.gz,False,True,14093
PARSE_0048.nii.gz,False,True,18928
PARSE_0049.nii.gz,False,True,19486
PARSE_0050.nii.gz,False,True,36356
PARSE_0051.nii.gz,False,True,28383
PARSE_0052.nii.gz,False,True,21636
PARSE_0053.nii.gz,False,True,40616
PARSE_0054.nii.gz,False,True,27767
PARSE_0055.nii.gz,False,True,21738
PARSE_0056.nii.gz,False,True,41408
PARSE_0057.nii.gz,False,True,31132
PARSE_0058.nii.gz,False,True,36058
PARSE_0059.nii.gz,False,True,30972
PARSE_0060.nii.gz,False,True,22743
PARSE_0061.nii.gz,False,True,19040
PARSE_0062.nii.gz,False,True,14531
PARSE_0063.nii.gz,False,True,29737
PARSE_0064.nii.gz,False,True,32854
PARSE_0065.nii.gz,False,True,13950
PARSE_0066.nii.gz,False,True,15220
PARSE_0067.nii.gz,False,True,14787
PARSE_0068.nii.gz,False,True,21784
PARSE_0069.nii.gz,False,True,16554
PARSE_0070.nii.gz,False,True,26759
PARSE_0071.nii.gz,False,True,23025
PARSE_0072.nii.gz,False,True,32007
PARSE_0073.nii.gz,False,True,13451
PARSE_0074.nii.gz,False,True,29085
PARSE_0075.nii.gz,False,True,25793
PARSE_0076.nii.gz,False,True,16368
PARSE_0077.nii.gz,False,True,20336
PARSE_0078.nii.gz,False,True,24809
PARSE_0079.nii.gz,False,True,24581
PARSE_0080.nii.gz,False,True,12247
PARSE_0081.nii.gz,False,True,20083
PARSE_0082.nii.gz,False,True,15441
PARSE_0083.nii.gz,False,True,22302
PARSE_0084.nii.gz,False,True,22688
PARSE_0085.nii.gz,False,True,17780
