case,matches_stored,nested_ok,omitted_vox_p0.3
PARSE_0001.nii.gz,False,True,15573
PARSE_0002.nii.gz,False,True,13858
PARSE_0003.nii.gz,False,True,14714
PARSE_0004.nii.gz,False,True,20384
PARSE_0005.nii.gz,False,True,14249
PARSE_0006.nii.gz,False,True,12244
PARSE_0007.nii.gz,False,True,14839
PARSE_0008.nii.gz,False,True,22175
PARSE_0009.nii.gz,False,True,17259
PARSE_0010.nii.gz,False,True,18542
PARSE_0011.nii.gz,False,True,16017
PARSE_0012.nii.gz,False,True,13168
PARSE_0013.nii.gz,False,True,20524
PARSE_0014.nii.gz,False,True,18135
PARSE_0015.nii.gz,False,True,22755
PARSE_0016.nii.gz,False,True,29850
PARSE_0017.nii.gz,False,True,34752
PARSE_0018.nii.gz,False,True,8715
PARSE_0019.nii.gz,False,True,33325
PARSE_0020.nii.gz,False,True,22940
PARSE_0021.nii.gz,False,True,19121
PARSE_0022.nii.gz,False,True,20298
PARSE_0023.nii.gz,False,True,15413
PARSE_0024.nii.gz,False,True,29268
PARSE_0025.nii.gz,False,True,16861
PARSE_0026.nii.gz,False,True,16569
PARSE_0027.nii.gz,False,True,25892
PARSE_0028.nii.gz,False,True,11912
PARSE_0029.nii.gz,False,True,20381
PARSE_0030.nii.gz,False,True,17635
PARSE_0031.nii.gz,False,True,11066
PARSE_0032.nii.gz,False,True,22986
PARSE_0033.nii.gz,False,True,14810
PARSE_0034.nii.gz,False,True,18213
PARSE_0035.nii.gz,False,True,22859
PARSE_0036.nii.gz,False,True,18614
PARSE_0037.nii.gz,False,True,14338
PARSE_0038.nii.gz,False,True,14786
PARSE_0039.nii.gz,False,True,20439
PARSE_0040.nii.gz,False,True,14438
PARSE_0041.nii.gz,False,True,16691
PARSE_0042.nii.gz,False,True,21332
PARSE_0043.nii.gz,False,True,22312
PARSE_0044.nii.gz,False,True,19443
PARSE_0045.nii.gz,False,True,19713
PARSE_0046.nii.gz,False,True,8640
PARSE_0047.nii.gz,False,True,23084
PARSE_0048.nii.gz,False,True,19249
PARSE_0049.nii.gz,False,True,23483
PARSE_0050.nii.gz,False,True,25029
PARSE_0051.nii.gz,False,True,39789
PARSE_0052.nii.gz,False,True,23134
PARSE_0053.nii.gz,False,True,38547
PARSE_0054.nii.gz,False,True,22982
PARSE_0055.nii.gz,False,True,19392
PARSE_0056.nii.gz,False,True,35743
PARSE_0057.nii.gz,False,True,19395
PARSE_0058.nii.gz,False,True,29376
PARSE_0059.nii.gz,False,True,26896
PARSE_0060.nii.gz,False,True,19476
PARSE_0061.nii.gz,False,True,22326
PARSE_0062.nii.gz,False,True,12353
PARSE_0063.nii.gz,False,True,20692
PARSE_0064.nii.gz,False,True,34327
PARSE_0065.nii.gz,False,True,14777
PARSE_0066.nii.gz,False,True,18281
PARSE_0067.nii.gz,False,True,14960
PARSE_0068.nii.gz,False,True,20397
PARSE_0069.nii.gz,False,True,13838
PARSE_0070.nii.gz,False,True,23912
PARSE_0071.nii.gz,False,True,20314
PARSE_0072.nii.gz,False,True,29141
PARSE_0073.nii.gz,False,True,11722
PARSE_0074.nii.gz,False,True,16072
PARSE_0075.nii.gz,False,True,23175
PARSE_0076.nii.gz,False,True,23661
PARSE_0077.nii.gz,False,True,20948
PARSE_0078.nii.gz,False,True,27178
PARSE_0079.nii.gz,False,True,26499
PARSE_0080.nii.gz,False,True,20297
PARSE_0081.nii.gz,False,True,29095
PARSE_0082.nii.gz,False,True,12031
PARSE_0083.nii.gz,False,True,26867
PARSE_0084.nii.gz,False,True,21516
PARSE_0085.nii.gz,False,True,20549
