case,matches_stored,nested_ok,omitted_vox_p0.3
PARSE_0001.nii.gz,False,True,19034
PARSE_0002.nii.gz,False,True,21191
PARSE_0003.nii.gz,False,True,14951
PARSE_0004.nii.gz,False,True,20351
PARSE_0005.nii.gz,False,True,20289
PARSE_0006.nii.gz,False,True,15711
PARSE_0007.nii.gz,False,True,14906
PARSE_0008.nii.gz,False,True,17490
PARSE_0009.nii.gz,False,True,15127
PARSE_0010.nii.gz,False,True,27567
PARSE_0011.nii.gz,False,True,29729
PARSE_0012.nii.gz,False,True,18172
PARSE_0013.nii.gz,False,True,14797
PARSE_0014.nii.gz,False,True,13909
PARSE_0015.nii.gz,False,True,17240
PARSE_0016.nii.gz,False,True,26201
PARSE_0017.nii.gz,False,True,30240
PARSE_0018.nii.gz,False,True,8639
PARSE_0019.nii.gz,False,True,33969
PARSE_0020.nii.gz,False,True,23474
PARSE_0021.nii.gz,False,True,18541
PARSE_0022.nii.gz,False,True,21663
PARSE_0023.nii.gz,False,True,21663
PARSE_0024.nii.gz,False,True,30358
PARSE_0025.nii.gz,False,True,19642
PARSE_0026.nii.gz,False,True,18753
PARSE_0027.nii.gz,False,True,27639
PARSE_0028.nii.gz,False,True,11618
PARSE_0029.nii.gz,False,True,22482
PARSE_0030.nii.gz,False,True,20819
PARSE_0031.nii.gz,False,True,15297
PARSE_0032.nii.gz,False,True,27664
PARSE_0033.nii.gz,False,True,19913
PARSE_0034.nii.gz,False,True,24540
PARSE_0035.nii.gz,False,True,19661
PARSE_0036.nii.gz,False,True,21420
PARSE_0037.nii.gz,False,True,14133
PARSE_0038.nii.gz,False,True,13822
PARSE_0039.nii.gz,False,True,16597
PARSE_0040.nii.gz,False,True,23321
PARSE_0041.nii.gz,False,True,25940
PARSE_0042.nii.gz,False,True,22932
PARSE_0043.nii.gz,False,True,13395
PARSE_0044.nii.gz,False,True,16264
PARSE_0045.nii.gz,False,True,16566
PARSE_0046.nii.gz,False,True,11213
PARSE_0047.nii.gz,False,True,16265
PARSE_0048.nii.gz,False,True,18576
PARSE_0049.nii.gz,False,True,23631
PARSE_0050.nii.gz,False,True,25091
PARSE_0051.nii.gz,False,True,44432
PARSE_0052.nii.gz,False,True,21338
PARSE_0053.nii.gz,False,True,34131
PARSE_0054.nii.gz,False,True,22484
PARSE_0055.nii.gz,False,True,26712
PARSE_0056.nii.gz,False,True,42056
PARSE_0057.nii.gz,False,True,14773
PARSE_0058.nii.gz,False,True,39023
PARSE_0059.nii.gz,False,True,33539
PARSE_0060.nii.gz,False,True,27708
PARSE_0061.nii.gz,False,True,16058
PARSE_0062.nii.gz,False,True,9208
PARSE_0063.nii.gz,False,True,21467
PARSE_0064.nii.gz,False,True,28581
PARSE_0065.nii.gz,False,True,11464
PARSE_0066.nii.gz,False,True,12511
PARSE_0067.nii.gz,False,True,11592
PARSE_0068.nii.gz,False,True,21300
PARSE_0069.nii.gz,False,True,12708
PARSE_0070.nii.gz,False,True,25743
PARSE_0071.nii.gz,False,True,20388
PARSE_0072.nii.gz,False,True,18878
PARSE_0073.nii.gz,False,True,16292
PARSE_0074.nii.gz,False,True,19450
PARSE_0075.nii.gz,False,True,20995
PARSE_0076.nii.gz,False,True,28336
PARSE_0077.nii.gz,False,True,17470
PARSE_0078.nii.gz,False,True,21321
PARSE_0079.nii.gz,False,True,31523
PARSE_0080.nii.gz,False,True,13873
PARSE_0081.nii.gz,False,True,33550
PARSE_0082.nii.gz,False,True,16122
PARSE_0083.nii.gz,False,True,20877
PARSE_0084.nii.gz,False,True,23944
PARSE_0085.nii.gz,False,True,21880
