case,matches_stored,nested_ok,omitted_vox_p0.3
PARSE_0001.nii.gz,False,True,23691
PARSE_0002.nii.gz,False,True,17970
PARSE_0003.nii.gz,False,True,21165
PARSE_0004.nii.gz,False,True,19398
PARSE_0005.nii.gz,False,True,17830
PARSE_0006.nii.gz,False,True,17921
PARSE_0007.nii.gz,False,True,17229
PARSE_0008.nii.gz,False,True,22078
PARSE_0009.nii.gz,False,True,14384
PARSE_0010.nii.gz,False,True,27681
PARSE_0011.nii.gz,False,True,18286
PARSE_0012.nii.gz,False,True,11704
PARSE_0013.nii.gz,False,True,14145
PARSE_0014.nii.gz,False,True,7086
PARSE_0015.nii.gz,False,True,15139
PARSE_0016.nii.gz,False,True,15904
PARSE_0017.nii.gz,False,True,33124
PARSE_0018.nii.gz,False,True,9722
PARSE_0019.nii.gz,False,True,38425
PARSE_0020.nii.gz,False,True,25557
PARSE_0021.nii.gz,False,True,22062
PARSE_0022.nii.gz,False,True,30549
PARSE_0023.nii.gz,False,True,24138
PARSE_0024.nii.gz,False,True,16446
PARSE_0025.nii.gz,False,True,15686
PARSE_0026.nii.gz,False,True,27391
PARSE_0027.nii.gz,False,True,25738
PARSE_0028.nii.gz,False,True,14758
PARSE_0029.nii.gz,False,True,24687
PARSE_0030.nii.gz,False,True,22294
PARSE_0031.nii.gz,False,True,14785
PARSE_0032.nii.gz,False,True,23033
PARSE_0033.nii.gz,False,True,17400
PARSE_0034.nii.gz,False,True,21172
PARSE_0035.nii.gz,False,True,21289
PARSE_0036.nii.gz,False,True,12201
PARSE_0037.nii.gz,False,True,12433
PARSE_0038.nii.gz,False,True,21902
PARSE_0039.nii.gz,False,True,21987
PARSE_0040.nii.gz,False,True,32467
PARSE_0041.nii.gz,False,True,22752
PARSE_0042.nii.gz,False,True,24216
PARSE_0043.nii.gz,False,True,17624
PARSE_0044.nii.gz,False,True,20141
PARSE_0045.nii.gz,False,True,17714
PARSE_0046.nii.gz,False,True,10966
PARSE_0047.nii.gz,False,True,21312
PARSE_0048.nii.gz,False,True,15709
PARSE_0049.nii.gz,False,True,29532
PARSE_0050.nii.gz,False,True,28295
PARSE_0051.nii.gz,False,True,37848
PARSE_0052.nii.gz,False,True,18639
PARSE_0053.nii.gz,False,True,39744
PARSE_0054.nii.gz,False,True,23890
PARSE_0055.nii.gz,False,True,31918
PARSE_0056.nii.gz,False,True,43103
PARSE_0057.nii.gz,False,True,14367
PARSE_0058.nii.gz,False,True,23645
PARSE_0059.nii.gz,False,True,28078
PARSE_0060.nii.gz,False,True,22176
PARSE_0061.nii.gz,False,True,20481
PARSE_0062.nii.gz,False,True,12786
PARSE_0063.nii.gz,False,True,19612
PARSE_0064.nii.gz,False,True,33469
PARSE_0065.nii.gz,False,True,11869
PARSE_0066.nii.gz,False,True,13664
PARSE_0067.nii.gz,False,True,11757
PARSE_0068.nii.gz,False,True,16584
PARSE_0069.nii.gz,False,True,10993
PARSE_0070.nii.gz,False,True,23166
PARSE_0071.nii.gz,False,True,21756
PARSE_0072.nii.gz,False,True,23214
PARSE_0073.nii.gz,False,True,18068
PARSE_0074.nii.gz,False,True,19653
PARSE_0075.nii.gz,False,True,29734
PARSE_0076.nii.gz,False,True,18367
PARSE_0077.nii.gz,False,True,26336
PARSE_0078.nii.gz,False,True,14436
PARSE_0079.nii.gz,False,True,24836
PARSE_0080.nii.gz,False,True,16936
PARSE_0081.nii.gz,False,True,26094
PARSE_0082.nii.gz,False,True,16010
PARSE_0083.nii.gz,False,True,25393
PARSE_0084.nii.gz,False,True,17495
PARSE_0085.nii.gz,False,True,18779
