case,matches_stored,nested_ok,omitted_vox_p0.3
PARSE_0001.nii.gz,False,True,16306
PARSE_0002.nii.gz,False,True,22327
PARSE_0003.nii.gz,False,True,14081
PARSE_0004.nii.gz,False,True,16360
PARSE_0005.nii.gz,False,True,18323
PARSE_0006.nii.gz,False,True,11306
PARSE_0007.nii.gz,False,True,12627
PARSE_0008.nii.gz,False,True,13467
PARSE_0009.nii.gz,False,True,11031
PARSE_0010.nii.gz,False,True,21486
PARSE_0011.nii.gz,False,True,21975
PARSE_0012.nii.gz,False,True,10973
PARSE_0013.nii.gz,False,True,16593
PARSE_0014.nii.gz,False,True,6531
PARSE_0015.nii.gz,False,True,24326
PARSE_0016.nii.gz,False,True,26662
PARSE_0017.nii.gz,False,True,29351
PARSE_0018.nii.gz,False,True,15199
PARSE_0019.nii.gz,False,True,35931
PARSE_0020.nii.gz,False,True,16188
PARSE_0021.nii.gz,False,True,23085
PARSE_0022.nii.gz,False,True,18066
PARSE_0023.nii.gz,False,True,24287
PARSE_0024.nii.gz,False,True,32982
PARSE_0025.nii.gz,False,True,17878
PARSE_0026.nii.gz,False,True,14299
PARSE_0027.nii.gz,False,True,24952
PARSE_0028.nii.gz,False,True,9622
PARSE_0029.nii.gz,False,True,27667
PARSE_0030.nii.gz,False,True,20510
PARSE_0031.nii.gz,False,True,11088
PARSE_0032.nii.gz,False,True,31376
PARSE_0033.nii.gz,False,True,21534
PARSE_0034.nii.gz,False,True,27368
PARSE_0035.nii.gz,False,True,21670
PARSE_0036.nii.gz,False,True,22595
PARSE_0037.nii.gz,False,True,15796
PARSE_0038.nii.gz,False,True,10972
PARSE_0039.nii.gz,False,True,15053
PARSE_0040.nii.gz,False,True,27226
PARSE_0041.nii.gz,False,True,20138
PARSE_0042.nii.gz,False,True,16719
PARSE_0043.nii.gz,False,True,15105
PARSE_0044.nii.gz,False,True,21901
PARSE_0045.nii.gz,False,True,23592
PARSE_0046.nii.gz,False,True,5414
PARSE_0047.nii.gz,False,True,22936
PARSE_0048.nii.gz,False,True,20358
PARSE_0049.nii.gz,False,True,15640
PARSE_0050.nii.gz,False,True,34729
PARSE_0051.nii.gz,False,True,31433
PARSE_0052.nii.gz,False,True,24525
PARSE_0053.nii.gz,False,True,36040
PARSE_0054.nii.gz,False,True,13424
PARSE_0055.nii.gz,False,True,41724
PARSE_0056.nii.gz,False,True,33570
PARSE_0057.nii.gz,False,True,20108
PARSE_0058.nii.gz,False,True,30847
PARSE_0059.nii.gz,False,True,32376
PARSE_0060.nii.gz,False,True,21453
PARSE_0061.nii.gz,False,True,20584
PARSE_0062.nii.gz,False,True,11227
PARSE_0063.nii.gz,False,True,29221
PARSE_0064.nii.gz,False,True,34189
PARSE_0065.nii.gz,False,True,16219
PARSE_0066.nii.gz,False,True,13033
PARSE_0067.nii.gz,False,True,12412
PARSE_0068.nii.gz,False,True,23122
PARSE_0069.nii.gz,False,True,21880
PARSE_0070.nii.gz,False,True,24541
PARSE_0071.nii.gz,False,True,26034
PARSE_0072.nii.gz,False,True,23000
PARSE_0073.nii.gz,False,True,16042
PARSE_0074.nii.gz,False,True,23274
PARSE_0075.nii.gz,False,True,22879
PARSE_0076.nii.gz,False,True,22265
PARSE_0077.nii.gz,False,True,21328
PARSE_0078.nii.gz,False,True,25633
PARSE_0079.nii.gz,False,True,18667
PARSE_0080.nii.gz,False,True,20566
PARSE_0081.nii.gz,False,True,34806
PARSE_0082.nii.gz,False,True,16164
PARSE_0083.nii.gz,False,True,23874
PARSE_0084.nii.gz,False,True,19927
PARSE_0085.nii.gz,False,True,15642
